F_id,f63,f189,f77,f162,f176,f88,f228,f214,f200,f201,f215,f229,f177,f89,f163,f188,f76,f62,f74,f60,f48,f149,f175,f161,f203,f217,f216,f202,f160,f174,f148,f49,f61,f75,f59,f71,f65,f170,f164,f158,f206,f212,f213,f207,f159,f165,f171,f64,f70,f58,f8,f198,f66,f72,f167,f99,f173,f211,f205,f239,f238,f204,f210,f172,f166,f98,f73,f199,f67,f9,f14,f28,f129,f101,f115,f303,f317,f288,f277,f263,f262,f276,f289,f316,f302,f114,f100,f128,f29,f15,f17,f116,f102,f314,f300,f248,f260,f274,f275,f261,f249,f301,f315,f103,f117,f16,f12,f113,f107,f311,f305,f265,f271,f259,f258,f270,f264,f304,f310,f106,f112,f13,f39,f11,f104,f110,f138,f306,f312,f299,f272,f266,f267,f273,f298,f313,f307,f139,f111,f105,f10,f38,f21,f35,f108,f120,f134,f295,f281,f256,f242,f243,f257,f280,f294,f135,f121,f109,f34,f20,f36,f22,f137,f123,f309,f282,f296,f269,f241,f255,f254,f240,f268,f297,f283,f320,f308,f122,f136,f23,f37,f33,f27,f132,f126,f318,f287,f293,f244,f250,f278,f279,f251,f245,f292,f286,f319,f127,f133,f26,f32,f18,f24,f30,f125,f131,f119,f290,f284,f253,f247,f246,f252,f285,f291,f118,f130,f124,f31,f25,f19,f42,f4,f56,f180,f194,f81,f95,f143,f157,f209,f235,f221,f220,f234,f208,f156,f142,f94,f80,f195,f181,f5,f57,f43,f55,f7,f41,f69,f197,f183,f96,f168,f82,f154,f140,f222,f236,f237,f223,f141,f155,f83,f97,f169,f182,f68,f196,f40,f54,f6,f192,f78,f186,f2,f50,f44,f151,f145,f93,f87,f179,f227,f233,f232,f226,f86,f178,f92,f144,f150,f45,f3,f51,f79,f187,f193,f185,f191,f47,f53,f1,f146,f152,f84,f90,f230,f224,f218,f219,f225,f231,f91,f85,f153,f147,f52,f46,f190,f184
f154,20,26,28,20,16,24,32,26,30,28,26,26,20,22,22,26,18,20,20,26,20,20,26,40,28,20,28,34,24,30,28,22,28,20,20,20,22,28,28,26,32,22,28,30,30,18,22,24,18,30,28,26,22,16,28,30,16,30,28,20,34,26,20,34,22,26,22,36,24,34,36,24,18,20,30,22,28,22,20,24,20,34,20,24,24,22,22,32,30,28,24,28,24,32,38,28,22,26,34,24,28,26,30,18,26,28,32,22,26,28,24,30,24,24,42,26,26,28,14,30,22,32,30,26,22,16,26,22,28,20,32,32,30,24,26,42,22,22,20,10,36,28,36,26,26,30,26,28,36,24,20,22,28,24,34,24,26,32,26,20,26,24,26,26,24,22,26,34,28,22,22,26,26,26,32,22,32,28,22,32,26,26,26,26,28,22,26,32,26,18,32,24,22,26,36,32,34,36,30,34,20,26,22,20,26,36,20,34,32,28,34,26,28,28,26,24,28,24,24,24,32,16,28,20,28,20,28,18,24,20,22,24,24,22,26,30,22,22,22,22,16,24,26,24,24,22,34,12,22,24,22,24,22,36,0,30,26,26,32,18,40,20,28,26,22,24,20,26,32,26,36,20,20,24,36,18,16,26,12,28,22,18,36,32,22,34,32,20,26,20,22,16,30,24,20,30,22,26,24,20,26,28,18,32,26,22,26,22,24,26,26,26,32,22,18,20,28,18,24,24
f140,30,30,30,28,36,28,34,28,26,32,32,36,36,28,32,38,30,38,20,30,32,46,34,32,30,32,32,36,30,30,38,42,30,24,34,14,28,34,36,34,36,30,40,32,36,40,36,34,42,30,40,36,30,20,32,28,24,30,32,40,32,30,30,30,36,26,24,30,36,26,26,34,38,38,26,38,30,32,34,34,34,32,32,28,28,28,32,32,24,32,38,32,36,28,30,28,38,32,24,28,32,30,34,30,34,16,32,34,38,34,36,34,30,30,32,32,34,30,38,38,30,32,26,22,36,36,36,38,32,22,34,32,36,32,28,30,32,44,40,34,28,24,24,10,40,28,36,32,32,24,32,28,30,32,32,34,34,32,10,22,10,36,40,32,28,32,34,34,28,30,30,34,34,32,34,30,30,34,28,34,12,24,36,6,34,34,30,36,32,32,34,28,36,34,32,26,34,24,20,32,16,34,44,30,34,28,30,34,34,36,24,34,34,30,30,36,32,30,12,22,30,34,36,32,34,28,20,30,38,36,30,38,36,28,28,30,36,34,22,26,30,38,34,30,34,28,38,30,36,38,36,10,32,22,30,0,32,38,36,40,18,32,34,32,32,32,26,32,30,34,30,34,26,34,38,32,36,36,32,26,32,30,32,32,32,28,30,40,28,32,36,28,38,32,22,34,30,30,40,38,34,38,36,34,30,28,36,24,28,36,30,28,24,30,34,22,38,38,34,28
f222,20,26,24,14,34,22,26,16,32,24,6,30,30,18,12,18,12,24,30,14,18,16,34,36,18,14,30,22,26,26,30,32,6,18,18,34,12,30,6,14,24,10,24,24,30,30,24,6,30,18,32,24,12,32,12,32,24,12,24,36,24,18,12,30,30,28,24,28,16,30,26,18,26,16,20,16,32,14,30,16,30,30,16,28,30,16,32,26,22,22,24,6,20,32,26,32,30,26,20,16,26,12,34,14,8,28,28,28,28,26,32,28,10,24,18,34,30,30,28,30,16,18,40,28,16,18,26,34,16,30,20,22,22,14,10,26,28,24,28,24,36,42,14,36,32,22,34,30,26,20,16,28,12,22,28,6,32,28,36,18,36,32,28,34,18,14,10,26,20,12,12,28,36,26,32,18,28,32,8,34,38,42,14,36,32,12,24,24,24,28,20,28,24,12,22,8,24,34,38,28,32,26,24,22,28,28,26,16,30,28,24,26,26,32,20,34,40,26,38,30,26,22,24,10,38,16,24,32,30,20,16,32,28,24,30,22,26,32,36,18,20,34,36,22,16,12,26,18,36,26,32,38,14,22,26,32,0,18,26,34,32,16,26,30,18,26,26,22,34,16,38,34,18,32,22,34,18,28,18,38,18,20,20,18,22,32,26,28,16,16,30,12,22,10,30,26,26,34,38,18,16,24,24,26,14,16,34,14,18,30,14,22,38,14,32,28,12,30,20,30
f236,16,18,24,18,28,26,28,22,24,20,18,28,28,20,14,20,24,24,34,16,16,12,32,32,20,20,42,22,30,28,28,30,16,28,12,38,12,34,16,18,22,18,24,20,28,30,14,16,26,16,32,24,14,36,26,38,26,20,34,26,30,20,16,38,26,36,30,34,14,30,24,22,18,20,32,16,34,16,24,14,20,28,14,40,26,28,34,30,30,28,32,20,24,30,32,28,30,32,20,22,22,16,36,12,20,30,24,32,24,16,28,26,18,32,32,34,32,22,22,28,22,28,36,30,10,26,34,28,20,32,16,22,22,20,24,30,20,26,34,16,32,36,26,38,30,20,28,28,34,22,14,38,24,20,30,18,22,26,38,24,38,30,32,30,16,14,16,34,20,20,20,28,32,20,32,16,20,28,18,30,40,40,24,42,32,10,26,24,26,20,20,38,16,22,24,18,22,34,38,24,40,30,26,30,30,26,16,26,36,26,30,20,34,28,20,36,30,26,42,30,24,16,36,18,32,18,28,32,30,14,24,32,20,22,24,18,34,28,34,26,16,28,32,16,14,20,24,22,32,22,34,38,26,24,26,38,18,0,26,28,36,22,28,34,8,26,20,14,30,8,34,28,22,30,24,34,10,36,18,32,22,10,26,26,18,26,26,22,26,14,36,22,34,16,38,32,16,30,32,16,8,30,12,34,24,22,32,28,22,26,20,20,34,26,32,36,6,38,14,30
f237,32,26,30,28,30,32,20,16,38,16,26,32,32,36,28,30,32,34,36,22,32,22,28,30,20,26,26,8,32,30,26,32,28,32,34,38,32,28,26,32,4,30,28,10,30,32,18,28,30,32,30,28,30,38,26,32,36,20,34,24,10,18,26,28,28,32,38,30,32,36,36,32,34,28,24,28,26,28,24,28,14,12,24,38,22,30,32,26,28,32,24,26,28,22,26,8,30,34,24,20,12,24,12,28,24,32,36,32,32,28,30,28,28,36,20,34,10,26,24,30,28,30,38,34,26,26,24,30,26,28,20,12,8,30,22,32,18,34,30,28,34,36,34,36,28,36,36,10,14,26,26,38,24,14,12,24,30,28,36,36,36,34,26,30,24,26,22,28,22,24,24,32,32,12,14,28,18,30,28,36,34,34,24,34,28,26,32,10,14,18,12,32,26,28,10,30,8,36,44,30,32,28,26,30,26,36,24,24,12,8,14,24,30,34,16,28,36,32,34,36,38,30,24,26,30,30,34,36,36,36,24,34,16,20,20,20,26,30,32,34,28,26,30,34,30,24,34,26,30,20,30,34,28,34,32,36,26,26,0,28,30,28,30,30,28,36,36,26,34,26,30,28,36,30,32,30,24,30,30,36,36,28,26,14,16,28,38,34,28,26,30,28,24,26,34,24,20,28,28,30,26,28,26,24,26,36,24,28,18,10,22,16,36,30,30,28,28,28,32,30
f223,26,30,32,26,8,32,30,28,28,28,32,12,14,32,26,26,32,18,28,30,26,20,20,34,28,28,16,30,36,34,12,18,32,32,26,32,28,12,34,26,28,32,26,28,24,10,22,28,20,34,20,26,24,30,34,32,28,32,18,8,34,28,28,18,24,32,34,32,24,34,40,30,12,24,34,30,18,30,24,30,24,32,26,20,32,34,24,32,36,32,24,36,26,26,24,28,4,14,44,26,28,30,32,24,30,44,34,22,20,26,16,24,30,14,34,18,28,22,18,20,30,32,32,40,26,26,22,10,34,28,32,28,26,34,40,34,24,14,16,14,30,28,46,38,16,36,18,30,34,34,32,18,30,26,34,30,18,26,38,32,38,24,20,14,32,28,24,16,28,26,26,12,30,26,28,34,24,20,32,32,40,30,32,34,24,30,36,28,28,26,26,28,24,40,34,38,30,36,24,38,34,24,22,32,22,36,24,36,28,26,38,22,20,18,26,20,22,38,38,34,34,22,22,30,22,30,42,22,18,20,30,20,22,18,32,32,26,14,32,32,28,18,16,30,30,32,24,18,16,18,16,34,34,38,18,40,34,28,28,0,38,22,30,32,26,32,28,24,32,30,32,14,30,18,26,12,24,20,18,30,30,20,38,32,26,20,32,10,32,28,12,24,24,32,30,24,18,16,14,22,30,20,20,26,36,32,8,28,22,24,28,26,26,32,16,34,30,14,26,16
f141,36,36,38,32,36,38,30,22,34,32,36,36,32,42,28,38,36,48,38,26,42,42,30,24,22,34,28,30,36,16,30,44,34,34,40,32,34,36,34,30,30,24,30,24,32,40,28,38,44,34,40,32,34,36,28,28,34,24,34,36,28,26,28,32,38,32,38,28,46,32,18,40,34,44,30,40,30,32,36,36,32,30,28,30,26,32,28,22,28,20,28,32,40,30,30,28,38,34,22,26,30,26,30,36,34,22,20,30,34,30,36,26,28,32,24,32,32,28,34,36,34,24,18,28,36,38,26,34,34,36,26,30,32,38,30,20,30,40,34,40,30,24,28,26,36,40,36,28,30,20,30,28,34,28,24,34,32,30,26,32,26,44,28,34,30,32,30,32,20,26,26,36,36,30,32,34,26,34,30,26,24,20,38,22,30,30,32,28,30,30,32,30,34,34,28,32,30,24,24,26,26,26,36,38,24,16,36,34,28,32,24,26,32,32,26,34,32,30,24,38,22,42,32,34,28,30,22,30,42,36,28,42,32,30,22,24,28,36,28,40,36,26,34,32,42,28,40,40,38,30,34,26,36,26,40,18,32,36,30,38,0,32,34,28,32,38,42,28,20,38,24,34,36,32,36,32,36,34,40,24,44,34,32,24,28,28,22,36,36,30,32,38,32,38,38,24,32,24,38,48,38,32,38,28,34,42,34,34,32,32,22,24,22,34,28,28,40,34,42,28
f155,22,28,32,16,26,28,30,20,32,28,18,28,22,20,14,20,18,24,32,20,20,18,34,38,18,12,28,26,30,32,20,30,14,22,20,34,18,24,18,26,26,18,20,26,36,20,22,12,24,22,34,30,14,34,24,36,24,18,18,24,28,24,20,28,36,32,26,34,18,30,36,26,18,20,26,18,24,22,26,20,26,34,18,22,30,24,32,28,30,26,26,18,22,26,26,26,24,22,30,20,28,18,32,16,16,38,34,20,28,24,28,26,18,22,26,26,30,26,24,28,10,26,38,36,18,20,26,24,20,28,26,20,24,20,24,32,26,20,24,16,30,38,30,40,24,22,32,32,32,24,24,18,20,24,30,16,26,24,40,24,40,30,30,34,26,22,12,24,22,18,18,26,32,28,30,28,26,32,18,36,40,40,28,34,24,20,28,24,26,26,20,26,28,20,28,22,30,32,32,30,34,30,26,28,28,36,20,26,30,30,28,24,18,28,20,30,32,28,40,28,34,24,30,18,38,24,34,28,30,18,14,30,28,16,28,22,26,28,36,22,22,32,30,20,16,18,24,16,32,26,20,40,22,36,20,32,16,22,28,22,32,0,26,28,18,26,30,22,38,22,36,26,22,26,26,22,20,30,10,34,22,16,32,22,24,30,30,22,24,22,18,14,30,16,34,26,18,22,28,18,22,22,20,30,24,20,28,18,14,30,16,26,36,24,28,32,20,18,26,22
f83,26,24,38,30,26,18,32,30,26,30,28,36,20,22,36,22,28,22,32,30,32,28,28,28,30,26,24,28,30,18,30,24,28,30,32,34,34,32,28,34,28,28,18,30,32,22,34,30,18,30,22,40,28,30,28,14,38,30,32,34,28,32,34,32,34,16,26,18,28,36,26,28,28,28,30,32,32,32,40,26,34,34,34,26,28,28,14,14,26,16,10,28,30,32,32,34,30,36,24,34,32,34,32,32,30,36,26,18,30,30,28,24,28,32,32,30,32,26,34,22,24,14,30,38,30,26,18,34,24,30,32,30,30,26,28,24,32,18,18,34,26,26,26,34,22,32,20,36,36,28,30,24,36,32,32,30,32,16,34,32,34,26,20,32,34,32,28,28,32,34,34,38,34,32,32,34,38,30,30,26,36,30,28,38,14,34,26,28,28,34,28,16,28,26,28,24,30,22,30,22,38,14,18,28,16,24,34,34,32,38,36,32,30,38,30,18,28,30,36,30,28,32,24,30,26,32,34,16,22,28,28,26,34,26,26,36,10,30,24,24,34,28,28,32,32,32,24,30,26,38,20,32,28,30,28,34,26,28,30,30,34,26,0,10,32,28,34,30,28,30,22,28,30,18,24,24,34,20,30,24,22,30,32,24,34,34,18,26,28,32,24,32,24,28,28,20,30,28,22,30,30,20,34,24,24,22,30,30,28,38,32,32,28,26,22,36,28,24,26,22
f97,26,28,38,36,26,24,34,30,30,34,34,38,24,28,36,28,32,28,26,32,34,30,28,26,28,32,22,32,26,22,30,22,34,32,34,30,40,34,32,34,32,28,20,32,32,22,32,36,22,34,22,36,34,26,26,10,38,32,34,34,30,32,34,34,32,12,30,16,34,32,26,28,34,30,32,34,28,32,42,32,32,36,34,24,26,34,10,14,24,18,10,32,32,32,36,30,32,38,24,32,32,36,30,38,34,28,30,14,32,30,30,22,28,34,34,28,32,30,32,26,28,18,24,36,34,22,14,36,30,28,36,32,32,30,32,26,36,22,16,32,30,26,28,28,24,36,22,30,34,28,32,24,38,32,30,32,38,20,28,38,28,26,18,34,34,34,32,32,32,34,34,40,34,34,30,38,40,32,32,26,28,26,28,32,12,36,20,28,30,30,32,16,24,28,32,30,34,20,32,28,30,16,18,22,16,28,38,38,28,36,34,32,30,42,30,14,28,24,28,30,32,28,22,34,20,34,36,16,22,34,30,22,36,28,26,34,8,32,18,30,36,24,30,30,34,32,30,30,24,34,18,30,34,32,26,32,30,34,30,32,28,28,10,0,34,26,36,32,30,36,20,30,34,20,28,22,32,18,32,26,32,34,36,28,34,38,24,30,34,32,22,30,24,34,24,20,34,28,20,32,36,22,36,20,28,28,32,34,30,36,30,32,26,34,20,28,34,22,32,24
f169,18,26,28,20,26,28,26,22,32,18,20,30,28,24,10,26,22,28,32,14,22,16,32,36,16,22,38,22,30,30,28,32,16,26,14,36,14,32,16,14,24,14,20,20,26,26,12,18,34,18,38,16,18,34,24,42,24,20,30,24,34,20,14,36,22,38,32,32,22,36,32,22,20,24,34,18,30,10,18,18,18,30,12,32,24,26,36,26,30,26,30,20,28,32,30,26,28,30,24,18,20,16,38,14,22,28,32,30,20,10,28,28,14,30,30,28,32,24,16,28,20,30,38,32,16,24,28,24,24,32,18,16,20,24,26,32,16,28,30,14,38,42,30,36,30,26,32,26,38,16,14,32,24,16,30,18,22,26,36,24,36,32,28,32,12,10,14,34,16,18,18,28,28,18,36,16,18,26,16,34,38,38,30,36,30,8,26,22,24,14,16,38,18,24,24,22,24,32,36,30,34,28,28,30,26,32,16,24,36,24,24,12,30,28,14,36,36,26,38,32,32,18,30,20,30,16,26,32,30,16,22,30,16,20,20,14,30,26,36,30,12,22,32,14,16,18,26,20,36,14,28,38,28,26,22,32,18,8,28,26,32,18,32,34,0,32,26,6,38,14,32,26,24,30,26,28,6,32,14,40,26,10,26,28,14,28,30,22,28,10,30,18,32,18,38,26,14,30,30,22,14,30,16,30,26,26,34,28,24,24,16,18,38,26,28,30,12,30,22,24
f182,22,22,30,28,30,22,36,32,26,32,26,32,28,24,30,22,26,24,28,28,20,20,34,26,30,24,34,32,14,34,30,26,24,28,22,26,24,32,22,32,36,24,38,38,30,26,32,22,14,24,24,32,22,28,30,26,26,28,32,38,32,30,28,30,28,26,28,34,18,18,30,20,30,20,28,18,34,30,36,24,32,34,26,30,32,28,26,34,20,34,30,22,24,30,36,40,34,32,26,30,38,28,30,26,24,28,28,28,36,34,34,30,28,30,34,36,30,32,34,32,26,30,26,24,22,18,32,36,26,26,30,38,34,22,28,34,38,24,24,24,26,28,18,24,26,14,26,36,28,30,28,30,28,36,30,24,32,32,24,28,24,22,30,32,30,28,30,32,30,30,30,30,32,36,24,32,42,32,30,22,24,30,20,30,28,30,14,34,32,36,36,28,22,22,38,24,36,30,36,24,26,34,26,16,34,30,28,34,36,34,40,38,30,34,36,26,20,18,24,14,30,22,32,24,28,28,32,26,24,28,26,24,34,32,36,34,30,32,32,24,34,34,32,24,24,28,28,24,26,38,28,26,22,38,24,32,26,26,36,32,38,26,28,26,32,0,22,36,26,26,30,32,24,28,28,34,28,28,22,28,24,26,30,28,36,38,30,26,28,28,32,24,30,24,26,34,36,32,26,14,26,28,22,34,26,22,34,28,26,34,28,32,28,26,30,28,22,28,20,36
f68,20,22,18,22,28,20,32,32,14,30,20,26,30,16,26,24,24,16,14,28,12,22,26,34,36,24,36,36,22,36,32,24,24,20,16,18,18,28,24,22,36,30,38,36,26,30,32,22,24,16,24,28,22,16,28,32,14,30,32,30,34,30,26,30,24,28,14,34,14,20,28,16,24,20,26,22,32,26,26,20,30,28,26,34,32,26,32,40,26,40,40,26,18,28,32,34,28,28,24,32,34,26,36,18,24,24,30,30,26,30,26,30,30,26,38,28,32,24,28,28,28,36,34,18,18,24,40,26,24,16,30,36,36,20,26,34,30,26,34,20,26,26,22,20,30,18,20,30,32,32,24,34,24,32,34,26,26,36,20,16,20,18,36,22,26,22,30,30,34,28,28,24,34,32,30,20,32,26,22,30,22,34,20,24,36,24,30,40,34,30,36,32,24,28,36,22,34,34,28,30,22,36,32,20,36,34,20,30,34,30,32,32,34,20,34,32,28,26,22,16,28,18,36,22,34,22,24,28,24,20,30,24,28,32,36,34,40,22,22,18,22,34,24,18,20,26,26,20,26,34,34,22,22,20,20,26,26,20,36,28,42,30,34,36,26,22,0,32,30,18,36,24,14,30,26,32,24,32,22,26,20,22,30,38,30,28,32,26,22,24,34,22,34,20,18,42,28,32,30,14,18,32,20,40,26,18,28,22,28,30,34,30,28,26,32,22,20,34,18,34
f196,24,28,34,26,20,28,24,22,32,18,26,30,22,28,14,32,28,32,38,14,28,22,26,32,16,28,32,20,36,28,24,32,20,32,20,38,18,26,22,14,22,18,20,18,22,26,16,22,38,24,34,14,22,40,26,40,30,20,30,22,32,20,18,30,24,42,38,28,28,38,34,28,20,30,34,24,30,14,22,24,20,28,14,32,26,30,34,22,36,22,26,24,34,34,26,24,26,30,26,20,18,18,36,18,26,34,30,32,18,6,22,28,18,30,24,28,30,26,18,24,26,26,32,36,20,30,22,22,28,34,18,14,18,28,30,30,16,28,28,18,34,36,36,36,26,32,28,26,36,16,18,32,30,16,28,22,16,22,36,30,36,36,24,26,12,16,18,28,18,22,22,28,32,16,34,20,12,20,22,34,40,32,36,38,26,12,32,20,22,16,14,38,22,30,22,26,22,28,34,34,38,24,30,36,22,30,14,24,30,24,24,8,30,28,12,32,32,32,40,38,30,24,24,24,24,20,30,30,30,22,24,30,16,18,20,14,26,20,42,36,16,16,28,20,22,20,22,24,32,12,26,38,32,26,26,32,22,14,26,24,28,22,30,32,6,36,32,0,32,20,28,20,30,26,22,24,12,28,18,34,30,14,28,26,16,24,30,18,32,14,28,22,26,24,44,20,14,26,26,28,20,26,18,24,26,32,28,32,24,22,18,18,32,30,24,32,18,28,28,18
f40,36,36,32,32,28,36,36,30,28,32,36,34,26,36,38,36,34,32,34,36,34,34,30,22,34,34,30,36,32,16,30,34,36,36,34,30,32,34,38,34,36,32,34,30,32,34,36,34,28,34,30,36,32,32,36,26,34,34,38,30,32,32,32,34,38,32,32,28,36,26,14,32,28,38,30,34,32,40,36,36,34,30,34,36,34,30,24,28,28,22,28,34,36,36,38,34,32,32,22,36,34,32,30,36,36,28,6,38,34,34,32,38,36,32,34,42,30,34,36,36,40,26,8,20,30,34,32,32,32,36,34,40,36,30,32,20,34,28,28,34,20,12,28,26,32,32,20,32,28,30,34,32,38,34,30,36,26,30,26,30,26,32,28,30,36,38,36,32,34,34,34,32,36,32,30,34,36,32,38,18,24,10,32,32,32,34,34,38,32,38,38,30,36,32,38,34,36,24,18,20,28,28,26,30,30,8,32,36,28,34,42,32,36,28,34,28,20,28,26,30,8,36,34,32,26,34,24,22,34,32,34,34,32,34,34,36,28,30,28,34,34,28,30,32,40,36,32,38,30,34,36,24,28,26,32,30,34,30,34,32,20,38,28,30,38,26,30,32,0,38,28,30,32,30,32,34,36,34,36,8,34,32,34,30,34,36,18,26,32,36,36,38,32,36,34,32,34,28,34,36,38,26,28,32,32,36,30,36,32,30,34,34,12,28,30,30,36,36,36,32
f54,14,12,18,12,32,20,26,20,22,24,12,28,32,14,14,16,18,22,28,12,10,16,32,30,22,16,42,24,24,32,30,28,16,20,8,32,14,30,12,16,22,18,26,26,26,32,22,14,26,10,30,24,14,30,18,34,20,16,30,32,28,18,14,34,22,32,22,34,12,28,28,20,20,14,24,14,36,16,22,8,22,32,14,36,24,20,34,32,28,30,34,16,16,30,28,30,32,28,24,18,28,18,34,8,16,26,32,30,22,18,28,22,18,30,28,30,28,26,22,26,20,28,44,26,8,24,36,32,16,28,22,24,24,16,18,36,22,30,38,20,32,40,22,36,30,16,32,32,32,26,10,36,18,22,30,14,24,24,36,18,36,28,34,30,16,10,18,32,22,16,16,26,34,24,34,14,18,28,10,34,36,42,18,38,32,14,24,26,26,22,24,36,14,18,26,16,26,38,44,28,34,30,28,26,30,34,18,26,34,28,26,26,32,28,26,36,28,24,38,28,32,14,32,12,32,14,24,36,28,16,20,28,24,26,26,22,36,30,32,18,16,34,30,14,8,12,22,16,28,28,34,34,20,22,26,34,16,8,26,30,38,22,30,36,14,26,18,20,38,0,32,28,14,30,20,32,12,36,18,38,16,18,28,26,22,26,28,28,18,16,38,18,30,12,30,32,24,34,32,12,0,32,20,32,18,16,32,20,22,30,20,22,42,20,34,28,4,34,12,30
f6,30,26,42,42,28,26,32,34,24,32,38,42,30,36,36,28,34,30,36,28,36,34,24,8,30,38,30,30,20,22,32,24,40,36,32,30,44,32,32,32,28,34,24,34,28,26,34,40,26,26,22,34,42,34,30,24,40,34,38,38,28,34,36,34,26,28,34,10,36,30,26,30,32,34,34,32,32,32,36,30,36,28,32,36,26,32,28,14,24,22,22,34,30,30,34,32,36,44,26,34,30,40,30,38,38,26,26,28,26,24,30,32,32,42,32,30,30,34,34,24,40,26,24,32,34,34,18,38,36,38,36,30,30,36,38,24,34,30,26,38,18,26,24,30,22,32,24,28,34,34,34,34,38,34,30,34,32,16,30,40,30,22,20,32,32,30,36,32,32,38,38,44,28,32,32,38,32,30,34,18,30,22,36,34,14,38,20,26,28,34,32,28,24,34,30,36,30,16,30,16,32,22,24,30,18,24,36,40,26,32,28,30,40,38,30,20,22,20,30,30,28,36,20,36,12,34,26,30,20,38,34,20,34,34,24,34,20,30,28,36,36,20,22,26,32,32,26,40,24,36,22,30,34,32,36,30,38,34,30,32,24,36,22,20,32,30,36,28,28,32,0,28,38,24,24,24,32,22,36,28,34,38,34,32,36,34,20,32,36,32,28,38,22,36,32,14,38,34,18,38,32,30,44,18,30,36,32,42,40,34,34,32,30,34,24,28,34,24,32,22
f192,34,24,32,30,8,26,26,30,22,32,32,20,8,28,30,28,32,26,32,20,26,24,8,30,30,32,20,30,36,30,12,24,30,28,30,30,26,10,32,24,28,34,32,30,12,18,32,30,22,30,16,24,28,32,28,28,24,28,28,18,34,32,32,14,22,32,32,32,28,30,40,32,12,24,32,32,30,32,26,28,26,32,28,28,36,32,28,26,44,30,24,34,24,28,20,28,18,24,34,34,32,32,34,22,34,40,34,28,12,20,6,22,36,18,32,20,28,18,24,12,34,28,28,34,26,32,20,12,30,22,30,28,30,34,36,38,26,16,22,20,22,18,44,32,8,36,16,34,36,34,30,28,32,32,28,34,8,22,32,28,32,32,18,8,30,28,32,16,34,36,36,18,36,28,30,28,20,8,30,28,34,28,34,32,20,28,40,34,34,26,28,32,30,40,30,34,30,30,32,34,32,20,30,38,18,36,14,32,32,28,34,24,22,22,26,20,16,38,32,30,34,30,18,30,20,28,38,18,26,24,30,24,26,26,32,30,26,2,32,28,28,12,8,30,32,30,16,22,16,24,14,28,34,32,20,34,34,28,28,14,34,26,28,30,26,32,24,20,30,28,28,0,28,10,18,10,28,18,24,22,30,24,36,32,32,18,32,8,30,30,18,30,16,30,32,22,26,10,14,24,28,14,18,24,30,32,10,26,24,26,32,28,20,32,12,30,32,16,30,14
f78,20,22,14,10,30,18,26,24,22,32,12,28,28,12,24,20,10,20,16,20,14,22,32,34,32,12,34,36,26,32,30,30,20,8,14,20,18,28,18,20,34,24,26,34,30,28,34,14,26,14,28,28,16,18,16,30,12,22,26,36,28,26,22,32,26,26,10,34,14,20,26,18,20,18,12,18,34,26,22,12,30,34,24,28,28,12,28,32,30,28,36,18,20,34,32,34,30,24,26,26,36,22,32,16,16,22,30,26,26,26,28,28,22,24,30,28,32,32,24,28,18,28,34,16,18,20,38,32,18,14,32,36,36,10,16,34,26,24,32,22,24,30,22,26,30,18,28,38,30,30,18,26,14,32,36,18,26,28,26,6,26,28,32,28,26,20,26,30,32,22,22,26,32,34,36,14,28,30,12,34,24,34,18,28,34,24,30,38,32,28,36,26,26,16,36,20,36,36,32,32,20,30,30,22,32,34,22,26,32,38,36,32,30,26,36,32,24,26,24,24,28,20,32,12,36,14,18,26,28,20,16,26,30,30,32,34,36,28,28,8,18,38,28,18,16,16,24,16,30,36,30,26,12,18,20,26,18,22,36,30,36,22,30,34,24,24,14,30,32,14,38,28,0,26,26,28,24,32,18,30,10,24,28,30,32,30,26,28,8,26,32,18,30,12,18,36,32,30,32,16,14,26,24,36,12,8,30,10,24,38,28,32,34,12,32,16,18,30,20,30
f186,32,22,32,30,12,26,30,30,22,36,32,24,6,30,34,26,30,26,30,22,30,24,14,26,30,30,16,32,34,22,14,24,30,26,32,30,30,16,30,26,32,32,24,30,18,14,34,30,18,30,16,30,24,30,26,18,28,26,28,26,28,34,36,20,26,22,30,24,30,26,34,30,18,26,30,34,28,34,34,32,32,36,34,22,34,30,18,18,38,20,16,30,26,28,28,32,20,26,30,36,36,34,30,28,34,38,34,18,16,24,10,18,30,20,30,18,32,18,30,10,28,20,26,36,30,30,14,20,32,24,32,32,36,32,36,32,34,12,16,26,20,18,36,32,8,36,14,38,32,36,34,22,32,38,30,34,18,16,32,28,32,30,12,14,36,32,34,18,34,38,38,26,32,34,26,34,28,16,28,26,34,30,32,32,12,34,32,32,36,32,32,24,28,36,32,32,34,26,32,30,32,12,26,34,10,32,24,38,30,36,40,30,22,30,32,16,14,36,32,30,34,30,16,30,18,32,38,12,22,26,30,22,34,24,28,34,16,12,28,26,36,16,10,30,36,30,18,22,18,30,8,28,32,32,24,34,32,30,30,18,32,26,18,20,30,28,30,26,30,30,24,10,26,0,20,8,32,12,28,22,30,28,34,28,40,22,22,12,28,34,14,30,14,30,28,18,30,10,14,28,30,10,24,20,28,30,14,28,24,36,32,34,22,30,10,28,32,16,28,12
